Survived,Pclass,Gender,Age,SibSp,Parch,Fare,Embarked,num_family,title
0,3,male,2,1,0,7.25,S,1,Mr
1,3,female,2,0,0,7.925,S,0,Miss
0,3,male,3,0,0,8.05,S,0,Mr
0,3,male,2,0,0,8.4583,Q,0,Mr
0,3,male,0,3,1,21.075,S,4,Master
1,3,female,2,0,2,11.1333,S,2,Mrs
1,2,female,1,1,0,30.0708,C,1,Mrs
1,3,female,0,1,1,16.7,S,2,Miss
1,1,female,5,0,0,26.55,S,0,Miss
0,3,male,1,0,0,8.05,S,0,Mr
0,3,male,3,1,5,31.275,S,6,Mr
0,3,female,1,0,0,7.8542,S,0,Miss
1,2,female,5,0,0,16.0,S,0,Mrs
0,3,male,0,4,1,29.125,Q,5,Master
1,2,male,2,0,0,13.0,S,0,Mr
0,3,female,3,1,0,18.0,S,1,Mrs
1,3,female,2,0,0,7.225,C,0,Mrs
0,2,male,3,0,0,26.0,S,0,Mr
1,2,male,3,0,0,13.0,S,0,Mr
1,3,female,1,0,0,8.0292,Q,0,Miss
1,1,male,2,0,0,35.5,S,0,Mr
0,3,female,0,3,1,21.075,S,4,Miss
1,3,female,3,1,5,31.3875,S,6,Mrs
0,3,male,2,0,0,7.225,C,0,Mr
1,3,female,2,0,0,7.8792,Q,0,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
0,1,male,3,0,0,27.7208,C,0,others
1,3,female,2,0,0,7.75,Q,0,Miss
0,2,male,6,0,0,10.5,S,0,Mr
1,3,male,2,0,0,7.2292,C,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,female,1,2,0,18.0,S,2,Miss
1,3,female,1,1,0,11.2417,C,1,Miss
0,3,female,3,1,0,9.475,S,1,Mrs
0,2,female,2,1,0,21.0,S,1,Mrs
0,3,male,2,0,0,7.8958,C,0,Mr
1,2,female,0,1,2,41.5792,C,3,Miss
1,3,female,1,0,0,7.8792,Q,0,Miss
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,1,0,15.5,Q,1,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
0,3,male,2,2,0,21.6792,C,2,Mr
0,3,female,1,1,0,17.8,S,1,Mrs
0,3,male,0,4,1,39.6875,S,5,Master
0,3,male,2,0,0,7.8,S,0,Mr
